IDnum,Buy,Income,Sex,Mailed,Age,Marital Status,Occupation,Education Level,Geographic Location,Online Behavior,Device Usage,Social Media Activity,Loyalty Program Membership,Previous Interactions with Ads,Shopping Preferences,Life Events,Frequency of Purchase,Average Transaction Value,Product Preferences
4666,No,20k-39k,Male,No,25-34,Single,Blue-Collar,High School,Rural,Low,Tablet,Medium,Non-Member,Not Shown,In-store,Moving,Frequent,10-49,Home & Garden
3611,No,40k-59k,Male,No,65+,Single,Blue-Collar,High School,Urban,Medium,Mobile,High,Non-Member,Clicked,In-store,Childbirth,Frequent,10-49,Grocery
199,No,20k-39k,Male,Yes,18-24,Single,Blue-Collar,High School,Rural,High,Mobile,High,Non-Member,Not Shown,In-store,None,Frequent,10-49,Health & Beauty
3049,Yes,60k-79k,Male,Yes,65+,Single,Blue-Collar,High School,Rural,High,Mobile,High,Non-Member,Clicked,In-store,Moving,Rare,10-49,Home & Garden
2370,No,40k-59k,Male,Yes,18-24,Single,Blue-Collar,High School,Rural,Medium,Mobile,High,Non-Member,Ignored,In-store,Marriage,Frequent,50-99,Home & Garden
61,Yes,140k-159k,Female,Yes,55-64,Single,Blue-Collar,Bachelor,Rural,High,Tablet,High,Member,Not Shown,In-store,Moving,Occasional,200-249,Health & Beauty
2336,Yes,140k-159k,Male,Yes,45-54,Married,White-Collar,Graduate,Urban,Low,Tablet,High,Non-Member,Clicked,In-store,Childbirth,Occasional,150-199,Home & Garden
1943,Yes,140k-159k,Female,Yes,55-64,Married,White-Collar,Graduate,Urban,High,Desktop,Medium,Member,Not Shown,Online,Moving,Rare,100-149,Clothing
822,No,40k-59k,Male,Yes,18-24,Single,Blue-Collar,High School,Suburban,High,Desktop,Low,Non-Member,Not Shown,In-store,None,Rare,50-99,Health & Beauty
1467,No,40k-59k,Male,Yes,65+,Single,Blue-Collar,High School,Suburban,High,Desktop,Medium,Non-Member,Ignored,In-store,Moving,Occasional,50-99,Health & Beauty
4022,Yes,20k-39k,Male,Yes,65+,Single,Blue-Collar,High School,Urban,Low,Mobile,Low,Non-Member,Clicked,In-store,Moving,Frequent,50-99,Health & Beauty
711,No,100k-119k,Female,No,55-64,Married,Blue-Collar,Graduate,Urban,Medium,Desktop,Low,Member,Clicked,Online,Moving,Frequent,200-249,Home & Garden
264,Yes,40k-59k,Male,No,18-24,Single,Blue-Collar,High School,Suburban,High,Tablet,Medium,Non-Member,Not Shown,In-store,Marriage,Frequent,50-99,Home & Garden
4904,No,20k-39k,Male,No,18-24,Single,Blue-Collar,High School,Rural,Low,Tablet,Low,Non-Member,Ignored,In-store,Childbirth,Frequent,50-99,Clothing
860,Yes,40k-59k,Male,Yes,25-34,Single,Blue-Collar,High School,Suburban,High,Desktop,High,Non-Member,Not Shown,In-store,Moving,Frequent,50-99,Grocery
4516,Yes,60k-79k,Male,No,65+,Single,Blue-Collar,High School,Suburban,High,Tablet,Low,Non-Member,Ignored,In-store,Childbirth,Frequent,10-49,Health & Beauty
1666,Yes,180k-200k,Female,Yes,45-54,Married,Blue-Collar,Graduate,Rural,Low,Tablet,Medium,Non-Member,Clicked,Online,Marriage,Occasional,300-349,Electronics
3965,Yes,40k-59k,Male,Yes,25-34,Single,Blue-Collar,High School,Suburban,Medium,Desktop,Medium,Non-Member,Ignored,In-store,Moving,Rare,50-99,Grocery
123,Yes,140k-159k,Female,Yes,45-54,Married,White-Collar,Bachelor,Suburban,Medium,Mobile,Medium,Member,Clicked,In-store,None,Occasional,200-249,Electronics
462,No,60k-79k,Male,No,18-24,Single,Blue-Collar,High School,Urban,Low,Desktop,Low,Non-Member,Ignored,In-store,Moving,Frequent,50-99,Home & Garden
2351,No,120k-139k,Male,No,35-44,Married,Blue-Collar,Bachelor,Urban,High,Mobile,Low,Member,Not Shown,Online,Marriage,Frequent,400-449,Electronics
2924,No,160k-179k,Male,No,35-44,Single,Blue-Collar,Graduate,Urban,Low,Mobile,Low,Member,Not Shown,Online,Childbirth,Occasional,350-399,Electronics
960,No,40k-59k,Male,Yes,18-24,Single,Blue-Collar,High School,Urban,Low,Mobile,Medium,Non-Member,Not Shown,In-store,Marriage,Frequent,50-99,Health & Beauty
2815,No,40k-59k,Male,Yes,65+,Single,Blue-Collar,High School,Rural,High,Desktop,Low,Non-Member,Clicked,In-store,Moving,Occasional,50-99,Home & Garden
624,No,40k-59k,Male,No,65+,Single,Blue-Collar,High School,Urban,Medium,Desktop,Low,Non-Member,Clicked,In-store,Marriage,Frequent,10-49,Electronics
1154,No,60k-79k,Male,No,25-34,Single,Blue-Collar,High School,Rural,High,Tablet,High,Non-Member,Not Shown,In-store,Moving,Rare,10-49,Home & Garden
4419,Yes,100k-119k,Female,Yes,55-64,Married,White-Collar,Bachelor,Rural,Low,Mobile,High,Non-Member,Ignored,Online,Childbirth,Frequent,350-399,Electronics
1101,No,20k-39k,Male,No,25-34,Single,Blue-Collar,High School,Rural,High,Tablet,Medium,Non-Member,Not Shown,In-store,Childbirth,Occasional,10-49,Clothing
1514,No,60k-79k,Male,No,25-34,Single,Blue-Collar,High School,Rural,High,Tablet,Medium,Non-Member,Ignored,In-store,Marriage,Occasional,10-49,Clothing
3922,No,40k-59k,Male,No,65+,Single,Blue-Collar,High School,Urban,Low,Tablet,Medium,Non-Member,Not Shown,In-store,Moving,Occasional,50-99,Home & Garden
4493,Yes,80k-99k,Male,Yes,45-54,Single,White-Collar,Bachelor,Suburban,Medium,Tablet,Low,Member,Not Shown,In-store,Childbirth,Frequent,150-199,Clothing
3526,No,40k-59k,Male,No,25-34,Single,Blue-Collar,High School,Rural,Low,Tablet,High,Non-Member,Clicked,In-store,Marriage,Frequent,50-99,Grocery
4237,Yes,80k-99k,Female,Yes,45-54,Married,Blue-Collar,Graduate,Rural,High,Tablet,Low,Member,Not Shown,In-store,Marriage,Occasional,450-500,Grocery
2148,No,40k-59k,Male,Yes,18-24,Single,Blue-Collar,High School,Urban,Medium,Tablet,High,Non-Member,Not Shown,In-store,Moving,Occasional,10-49,Grocery
1567,No,80k-99k,Male,No,35-44,Single,White-Collar,Bachelor,Suburban,Low,Mobile,Low,Member,Clicked,Online,Childbirth,Rare,200-249,Clothing
4129,No,20k-39k,Male,Yes,25-34,Single,Blue-Collar,High School,Suburban,Medium,Tablet,High,Non-Member,Not Shown,In-store,Childbirth,Rare,10-49,Home & Garden
2215,No,20k-39k,Male,Yes,18-24,Single,Blue-Collar,High School,Rural,High,Mobile,Low,Non-Member,Clicked,In-store,Moving,Rare,50-99,Health & Beauty
3848,No,40k-59k,Male,No,18-24,Single,Blue-Collar,High School,Rural,High,Tablet,Medium,Non-Member,Clicked,In-store,None,Frequent,10-49,Electronics
4522,No,20k-39k,Male,Yes,25-34,Single,Blue-Collar,High School,Suburban,High,Desktop,Low,Non-Member,Ignored,In-store,None,Frequent,10-49,Grocery
2391,No,100k-119k,Female,No,45-54,Single,White-Collar,Bachelor,Rural,Low,Tablet,Medium,Member,Ignored,Online,Childbirth,Occasional,350-399,Electronics
3326,Yes,180k-200k,Male,No,35-44,Single,White-Collar,Bachelor,Urban,High,Tablet,High,Non-Member,Clicked,Online,Moving,Frequent,100-149,Home & Garden
4194,No,120k-139k,Male,No,35-44,Single,White-Collar,Bachelor,Rural,Low,Desktop,Low,Non-Member,Clicked,Online,Marriage,Rare,350-399,Health & Beauty
4759,No,120k-139k,Male,No,35-44,Married,White-Collar,Bachelor,Urban,Low,Desktop,Medium,Member,Not Shown,Online,None,Occasional,350-399,Grocery
1352,No,140k-159k,Female,Yes,35-44,Married,White-Collar,Graduate,Urban,Medium,Desktop,Medium,Member,Ignored,Online,Marriage,Occasional,200-249,Grocery
2769,Yes,120k-139k,Female,Yes,35-44,Married,Blue-Collar,Bachelor,Urban,Medium,Tablet,Low,Member,Not Shown,Online,Childbirth,Occasional,150-199,Grocery
1433,No,140k-159k,Female,No,45-54,Single,Blue-Collar,Bachelor,Rural,High,Mobile,High,Member,Ignored,Online,Moving,Occasional,450-500,Home & Garden
4032,No,20k-39k,Male,No,25-34,Single,Blue-Collar,High School,Urban,Low,Desktop,High,Non-Member,Not Shown,In-store,Moving,Frequent,10-49,Home & Garden
4267,No,60k-79k,Male,No,18-24,Single,Blue-Collar,High School,Suburban,Low,Tablet,High,Non-Member,Not Shown,In-store,Marriage,Rare,50-99,Grocery
3489,No,20k-39k,Male,Yes,25-34,Single,Blue-Collar,High School,Rural,Low,Mobile,Low,Non-Member,Clicked,In-store,Marriage,Rare,50-99,Health & Beauty
4449,No,180k-200k,Male,No,35-44,Married,White-Collar,Bachelor,Suburban,Low,Mobile,Low,Member,Ignored,In-store,Moving,Frequent,350-399,Home & Garden
2731,No,60k-79k,Male,No,25-34,Single,Blue-Collar,High School,Suburban,Low,Desktop,Low,Non-Member,Clicked,In-store,Childbirth,Occasional,50-99,Health & Beauty
1972,No,160k-179k,Female,No,45-54,Single,Blue-Collar,Bachelor,Rural,Low,Desktop,High,Non-Member,Not Shown,Online,Moving,Frequent,200-249,Grocery
3101,Yes,80k-99k,Female,Yes,35-44,Married,Blue-Collar,Graduate,Rural,Medium,Tablet,Medium,Member,Ignored,Online,Marriage,Frequent,300-349,Clothing
4914,No,40k-59k,Male,Yes,65+,Single,Blue-Collar,High School,Urban,Low,Desktop,Low,Non-Member,Not Shown,In-store,Marriage,Occasional,10-49,Health & Beauty
4247,Yes,60k-79k,Male,No,18-24,Single,Blue-Collar,High School,Rural,High,Desktop,Low,Non-Member,Ignored,In-store,Marriage,Occasional,10-49,Electronics
2270,No,180k-200k,Female,Yes,35-44,Married,Blue-Collar,Bachelor,Urban,Medium,Tablet,Low,Member,Not Shown,Online,None,Rare,450-500,Electronics
2709,No,140k-159k,Male,No,55-64,Married,Blue-Collar,Bachelor,Suburban,Medium,Tablet,Medium,Non-Member,Clicked,Online,Marriage,Frequent,200-249,Home & Garden
4554,Yes,60k-79k,Male,Yes,65+,Single,Blue-Collar,High School,Rural,Medium,Tablet,High,Non-Member,Clicked,In-store,None,Frequent,10-49,Home & Garden
1163,Yes,80k-99k,Female,Yes,45-54,Married,White-Collar,Bachelor,Rural,Low,Tablet,High,Member,Clicked,Online,None,Rare,300-349,Home & Garden
2999,No,40k-59k,Male,Yes,25-34,Single,Blue-Collar,High School,Rural,Low,Desktop,High,Non-Member,Clicked,In-store,Childbirth,Occasional,50-99,Clothing
886,Yes,40k-59k,Male,Yes,65+,Single,Blue-Collar,High School,Suburban,High,Desktop,High,Non-Member,Ignored,In-store,Childbirth,Occasional,10-49,Clothing
4675,Yes,40k-59k,Male,No,18-24,Single,Blue-Collar,High School,Rural,High,Tablet,Low,Non-Member,Ignored,In-store,Moving,Rare,10-49,Grocery
3368,No,40k-59k,Male,Yes,18-24,Single,Blue-Collar,High School,Urban,Medium,Mobile,High,Non-Member,Not Shown,In-store,Moving,Rare,50-99,Clothing
444,No,60k-79k,Male,No,18-24,Single,Blue-Collar,High School,Suburban,Medium,Mobile,Medium,Non-Member,Clicked,In-store,None,Frequent,50-99,Health & Beauty
3016,No,100k-119k,Male,No,35-44,Single,White-Collar,Graduate,Suburban,High,Desktop,High,Non-Member,Clicked,Online,Marriage,Frequent,300-349,Home & Garden
2271,No,60k-79k,Male,No,65+,Single,Blue-Collar,High School,Rural,Medium,Tablet,Low,Non-Member,Not Shown,In-store,Moving,Frequent,50-99,Home & Garden
757,Yes,40k-59k,Male,No,18-24,Single,Blue-Collar,High School,Urban,Low,Mobile,Low,Non-Member,Not Shown,In-store,None,Frequent,10-49,Health & Beauty
1456,No,180k-200k,Male,Yes,55-64,Married,White-Collar,Graduate,Suburban,Low,Mobile,High,Member,Ignored,Online,Marriage,Occasional,300-349,Clothing
3428,No,140k-159k,Female,No,35-44,Married,Blue-Collar,Bachelor,Suburban,Low,Tablet,High,Non-Member,Ignored,In-store,Marriage,Frequent,450-500,Clothing
3035,No,160k-179k,Female,No,55-64,Married,Blue-Collar,Graduate,Urban,Low,Tablet,Low,Non-Member,Clicked,Online,Marriage,Occasional,200-249,Electronics
1077,No,100k-119k,Female,No,45-54,Single,Blue-Collar,Bachelor,Urban,Medium,Desktop,Low,Member,Clicked,Online,None,Rare,400-449,Electronics
1288,No,100k-119k,Male,No,35-44,Married,Blue-Collar,Graduate,Rural,High,Mobile,Low,Member,Not Shown,Online,Moving,Rare,250-299,Health & Beauty
1559,Yes,120k-139k,Male,Yes,55-64,Single,White-Collar,Graduate,Urban,High,Tablet,Medium,Member,Not Shown,In-store,Childbirth,Frequent,100-149,Clothing
2471,Yes,120k-139k,Female,Yes,35-44,Married,Blue-Collar,Bachelor,Urban,Low,Tablet,Medium,Member,Clicked,Online,Childbirth,Occasional,350-399,Home & Garden
2349,No,40k-59k,Male,Yes,18-24,Single,Blue-Collar,High School,Urban,High,Mobile,Low,Non-Member,Clicked,In-store,Marriage,Rare,50-99,Electronics
3071,No,100k-119k,Male,No,45-54,Single,Blue-Collar,Bachelor,Urban,Medium,Desktop,Low,Member,Ignored,In-store,Moving,Frequent,300-349,Grocery
1934,Yes,100k-119k,Female,Yes,55-64,Married,White-Collar,Bachelor,Urban,Low,Tablet,Medium,Member,Clicked,In-store,None,Frequent,150-199,Electronics
977,No,60k-79k,Male,No,18-24,Single,Blue-Collar,High School,Suburban,Low,Desktop,Low,Non-Member,Ignored,In-store,Marriage,Rare,50-99,Electronics
4732,No,20k-39k,Male,Yes,65+,Single,Blue-Collar,High School,Rural,Medium,Desktop,Medium,Non-Member,Ignored,In-store,Childbirth,Rare,10-49,Grocery
1461,Yes,120k-139k,Male,Yes,45-54,Married,Blue-Collar,Bachelor,Rural,Medium,Tablet,High,Member,Not Shown,Online,None,Occasional,450-500,Grocery
3218,Yes,140k-159k,Male,Yes,45-54,Married,White-Collar,Graduate,Suburban,Medium,Mobile,High,Non-Member,Ignored,Online,None,Rare,400-449,Health & Beauty
1857,No,40k-59k,Male,No,25-34,Single,Blue-Collar,High School,Suburban,Low,Desktop,Medium,Non-Member,Not Shown,In-store,Marriage,Frequent,50-99,Grocery
4290,No,160k-179k,Female,No,55-64,Single,Blue-Collar,Graduate,Rural,Medium,Desktop,High,Member,Clicked,In-store,Moving,Rare,300-349,Home & Garden
2348,Yes,160k-179k,Female,Yes,45-54,Single,Blue-Collar,Bachelor,Suburban,Medium,Tablet,High,Non-Member,Ignored,Online,Childbirth,Frequent,400-449,Health & Beauty
4014,No,40k-59k,Male,Yes,25-34,Single,Blue-Collar,High School,Suburban,High,Tablet,Low,Non-Member,Ignored,In-store,Moving,Occasional,10-49,Grocery
2112,Yes,60k-79k,Male,Yes,65+,Single,Blue-Collar,High School,Suburban,High,Tablet,Low,Non-Member,Not Shown,In-store,Childbirth,Occasional,10-49,Home & Garden
2693,Yes,160k-179k,Male,Yes,35-44,Single,White-Collar,Graduate,Rural,Low,Mobile,Medium,Non-Member,Not Shown,Online,Moving,Occasional,300-349,Clothing
1159,No,20k-39k,Male,Yes,65+,Single,Blue-Collar,High School,Urban,High,Mobile,Low,Non-Member,Ignored,In-store,Moving,Rare,10-49,Clothing
4597,No,40k-59k,Male,Yes,65+,Single,Blue-Collar,High School,Suburban,Medium,Tablet,High,Non-Member,Ignored,In-store,Marriage,Rare,50-99,Clothing
4846,No,40k-59k,Male,No,65+,Single,Blue-Collar,High School,Urban,Low,Desktop,Medium,Non-Member,Not Shown,In-store,Moving,Frequent,50-99,Health & Beauty
3046,No,60k-79k,Male,Yes,18-24,Single,Blue-Collar,High School,Rural,Low,Mobile,Medium,Non-Member,Clicked,In-store,Moving,Rare,10-49,Grocery
2067,Yes,160k-179k,Female,Yes,55-64,Single,White-Collar,Graduate,Urban,Medium,Mobile,Low,Member,Not Shown,Online,Marriage,Occasional,250-299,Home & Garden
3612,Yes,140k-159k,Male,Yes,35-44,Single,White-Collar,Graduate,Rural,High,Desktop,Low,Non-Member,Not Shown,In-store,Childbirth,Occasional,300-349,Grocery
4860,Yes,100k-119k,Female,Yes,35-44,Single,White-Collar,Graduate,Suburban,Medium,Mobile,High,Member,Clicked,Online,None,Rare,300-349,Electronics
2036,Yes,20k-39k,Male,Yes,18-24,Single,Blue-Collar,High School,Rural,High,Mobile,Low,Non-Member,Ignored,In-store,None,Frequent,10-49,Health & Beauty
1035,Yes,120k-139k,Female,Yes,55-64,Single,Blue-Collar,Bachelor,Urban,High,Mobile,Medium,Member,Not Shown,In-store,Moving,Frequent,200-249,Grocery
3905,Yes,120k-139k,Female,Yes,45-54,Married,White-Collar,Graduate,Rural,Low,Mobile,Low,Non-Member,Not Shown,In-store,Moving,Rare,450-500,Grocery
4179,Yes,80k-99k,Male,Yes,55-64,Single,Blue-Collar,Graduate,Suburban,Medium,Tablet,Medium,Member,Clicked,Online,None,Rare,300-349,Electronics
810,Yes,140k-159k,Female,Yes,55-64,Married,Blue-Collar,Graduate,Rural,Medium,Tablet,High,Member,Clicked,Online,None,Rare,450-500,Home & Garden
4132,No,120k-139k,Female,No,55-64,Married,Blue-Collar,Bachelor,Rural,High,Desktop,High,Non-Member,Not Shown,Online,None,Frequent,450-500,Grocery
3094,Yes,160k-179k,Female,Yes,35-44,Married,Blue-Collar,Graduate,Suburban,Low,Mobile,Medium,Member,Not Shown,Online,None,Rare,200-249,Electronics
864,Yes,120k-139k,Female,Yes,55-64,Married,White-Collar,Bachelor,Suburban,High,Mobile,Low,Non-Member,Clicked,Online,Marriage,Frequent,350-399,Grocery
1598,No,80k-99k,Female,No,55-64,Married,Blue-Collar,Graduate,Rural,Medium,Mobile,High,Member,Not Shown,Online,None,Frequent,350-399,Electronics
3764,No,60k-79k,Male,No,25-34,Single,Blue-Collar,High School,Suburban,Low,Mobile,Medium,Non-Member,Clicked,In-store,Marriage,Rare,50-99,Clothing
4861,Yes,140k-159k,Male,No,55-64,Married,Blue-Collar,Graduate,Urban,Medium,Mobile,High,Member,Ignored,In-store,Moving,Occasional,100-149,Clothing
4369,No,160k-179k,Female,No,45-54,Single,White-Collar,Graduate,Suburban,High,Mobile,Low,Non-Member,Not Shown,Online,Moving,Occasional,100-149,Home & Garden
4152,No,20k-39k,Male,Yes,25-34,Single,Blue-Collar,High School,Urban,Medium,Tablet,Low,Non-Member,Ignored,In-store,Moving,Frequent,50-99,Electronics
2040,No,100k-119k,Female,No,45-54,Single,Blue-Collar,Bachelor,Rural,Medium,Mobile,Medium,Member,Not Shown,In-store,Childbirth,Occasional,400-449,Grocery
4499,No,140k-159k,Female,No,35-44,Single,White-Collar,Bachelor,Rural,Medium,Mobile,High,Member,Ignored,In-store,Childbirth,Occasional,300-349,Electronics
3946,No,40k-59k,Male,No,18-24,Single,Blue-Collar,High School,Rural,Medium,Desktop,Low,Non-Member,Clicked,In-store,None,Rare,10-49,Electronics
4559,Yes,80k-99k,Female,No,35-44,Married,Blue-Collar,Bachelor,Rural,High,Mobile,High,Member,Ignored,In-store,Childbirth,Occasional,100-149,Clothing
300,Yes,80k-99k,Female,Yes,35-44,Married,Blue-Collar,Bachelor,Rural,Medium,Mobile,Low,Non-Member,Ignored,Online,Childbirth,Frequent,250-299,Clothing
3343,Yes,160k-179k,Male,Yes,35-44,Single,White-Collar,Graduate,Urban,High,Desktop,Medium,Member,Clicked,Online,Marriage,Occasional,200-249,Health & Beauty
2319,No,40k-59k,Male,Yes,65+,Single,Blue-Collar,High School,Urban,Low,Mobile,Low,Non-Member,Clicked,In-store,None,Frequent,50-99,Home & Garden
1162,Yes,180k-200k,Female,Yes,45-54,Married,White-Collar,Graduate,Urban,Low,Desktop,Medium,Member,Not Shown,Online,Marriage,Occasional,450-500,Clothing
2905,Yes,20k-39k,Male,No,25-34,Single,Blue-Collar,High School,Rural,Medium,Tablet,High,Non-Member,Not Shown,In-store,Marriage,Occasional,10-49,Health & Beauty
425,Yes,140k-159k,Male,Yes,55-64,Single,Blue-Collar,Graduate,Suburban,High,Tablet,Medium,Member,Clicked,Online,None,Frequent,450-500,Health & Beauty
972,No,120k-139k,Male,No,45-54,Married,Blue-Collar,Bachelor,Urban,High,Mobile,High,Member,Not Shown,In-store,None,Rare,450-500,Home & Garden
900,Yes,120k-139k,Female,Yes,45-54,Married,White-Collar,Graduate,Suburban,Low,Mobile,Low,Member,Ignored,Online,Moving,Occasional,250-299,Grocery
1703,Yes,140k-159k,Female,Yes,35-44,Married,Blue-Collar,Bachelor,Urban,Low,Mobile,Medium,Non-Member,Not Shown,Online,Childbirth,Frequent,150-199,Clothing
2069,No,40k-59k,Male,No,18-24,Single,Blue-Collar,High School,Urban,High,Tablet,High,Non-Member,Ignored,In-store,Moving,Rare,10-49,Health & Beauty
3724,No,20k-39k,Male,No,25-34,Single,Blue-Collar,High School,Urban,Low,Desktop,High,Non-Member,Clicked,In-store,Marriage,Frequent,10-49,Grocery
1382,Yes,20k-39k,Male,No,18-24,Single,Blue-Collar,High School,Urban,Medium,Tablet,Low,Non-Member,Not Shown,In-store,Childbirth,Frequent,50-99,Electronics
433,Yes,140k-159k,Female,Yes,35-44,Married,Blue-Collar,Bachelor,Rural,High,Mobile,High,Member,Ignored,Online,None,Rare,250-299,Health & Beauty
4105,No,60k-79k,Male,Yes,18-24,Single,Blue-Collar,High School,Suburban,Medium,Desktop,Low,Non-Member,Ignored,In-store,Marriage,Occasional,10-49,Home & Garden
1074,No,60k-79k,Male,Yes,18-24,Single,Blue-Collar,High School,Urban,Medium,Mobile,Low,Non-Member,Not Shown,In-store,Childbirth,Occasional,10-49,Clothing
4871,Yes,120k-139k,Male,Yes,55-64,Single,White-Collar,Bachelor,Suburban,High,Desktop,Low,Member,Not Shown,Online,Moving,Rare,400-449,Health & Beauty
4741,No,160k-179k,Female,No,35-44,Married,Blue-Collar,Bachelor,Rural,High,Desktop,Low,Member,Not Shown,Online,None,Occasional,150-199,Grocery
2312,No,180k-200k,Male,No,45-54,Married,White-Collar,Bachelor,Suburban,Low,Desktop,High,Member,Clicked,In-store,None,Frequent,250-299,Home & Garden
3762,No,60k-79k,Male,Yes,18-24,Single,Blue-Collar,High School,Suburban,High,Mobile,Low,Non-Member,Not Shown,In-store,Moving,Rare,10-49,Clothing
1428,Yes,80k-99k,Female,No,45-54,Married,White-Collar,Bachelor,Rural,High,Mobile,Medium,Member,Clicked,In-store,Moving,Occasional,200-249,Clothing
3297,Yes,40k-59k,Male,Yes,25-34,Single,Blue-Collar,High School,Suburban,Low,Desktop,Low,Non-Member,Ignored,In-store,Childbirth,Frequent,50-99,Grocery
2612,No,40k-59k,Male,Yes,25-34,Single,Blue-Collar,High School,Urban,High,Desktop,High,Non-Member,Clicked,In-store,None,Frequent,50-99,Grocery
3558,No,20k-39k,Male,Yes,18-24,Single,Blue-Collar,High School,Suburban,Low,Mobile,High,Non-Member,Ignored,In-store,Marriage,Occasional,50-99,Clothing
2027,No,20k-39k,Male,Yes,25-34,Single,Blue-Collar,High School,Suburban,Low,Desktop,High,Non-Member,Clicked,In-store,None,Occasional,10-49,Home & Garden
2307,No,140k-159k,Female,No,35-44,Single,White-Collar,Bachelor,Rural,Medium,Desktop,High,Non-Member,Ignored,Online,Marriage,Rare,150-199,Clothing
233,No,60k-79k,Male,No,25-34,Single,Blue-Collar,High School,Rural,Low,Tablet,High,Non-Member,Not Shown,In-store,None,Rare,10-49,Grocery
2579,Yes,100k-119k,Female,Yes,45-54,Single,Blue-Collar,Graduate,Rural,High,Mobile,High,Member,Ignored,In-store,Childbirth,Frequent,250-299,Grocery
3037,Yes,180k-200k,Female,Yes,35-44,Single,White-Collar,Graduate,Rural,Medium,Desktop,High,Non-Member,Not Shown,In-store,None,Rare,450-500,Health & Beauty
2887,Yes,100k-119k,Female,Yes,45-54,Married,White-Collar,Bachelor,Rural,Low,Tablet,Medium,Member,Ignored,In-store,Marriage,Occasional,350-399,Health & Beauty
3100,No,40k-59k,Male,Yes,65+,Single,Blue-Collar,High School,Rural,High,Mobile,Low,Non-Member,Clicked,In-store,Moving,Rare,50-99,Home & Garden
675,No,140k-159k,Female,No,35-44,Single,White-Collar,Bachelor,Suburban,Low,Desktop,High,Non-Member,Not Shown,Online,None,Frequent,300-349,Health & Beauty
2610,No,160k-179k,Male,No,55-64,Married,Blue-Collar,Graduate,Suburban,Medium,Desktop,Low,Non-Member,Clicked,In-store,Marriage,Occasional,450-500,Home & Garden
4052,No,160k-179k,Male,No,55-64,Married,White-Collar,Graduate,Suburban,Medium,Tablet,High,Non-Member,Clicked,Online,Childbirth,Rare,250-299,Home & Garden
176,Yes,60k-79k,Male,Yes,25-34,Single,Blue-Collar,High School,Rural,High,Mobile,Medium,Non-Member,Ignored,In-store,None,Rare,50-99,Clothing
3096,No,160k-179k,Female,No,55-64,Married,Blue-Collar,Bachelor,Suburban,Medium,Desktop,High,Member,Clicked,Online,Marriage,Frequent,300-349,Electronics
4366,Yes,180k-200k,Female,Yes,35-44,Single,Blue-Collar,Graduate,Urban,Low,Desktop,Medium,Non-Member,Ignored,Online,Childbirth,Frequent,150-199,Grocery
3491,No,20k-39k,Male,Yes,65+,Single,Blue-Collar,High School,Urban,High,Desktop,Low,Non-Member,Ignored,In-store,None,Frequent,10-49,Grocery
225,Yes,180k-200k,Female,Yes,55-64,Single,Blue-Collar,Graduate,Rural,Low,Tablet,Medium,Member,Not Shown,In-store,Marriage,Rare,350-399,Home & Garden
4002,Yes,160k-179k,Female,Yes,55-64,Married,Blue-Collar,Graduate,Suburban,Medium,Mobile,Low,Member,Not Shown,Online,Childbirth,Rare,100-149,Electronics
4873,Yes,20k-39k,Male,Yes,65+,Single,Blue-Collar,High School,Urban,Low,Mobile,High,Non-Member,Clicked,In-store,Childbirth,Rare,10-49,Grocery
3477,No,80k-99k,Female,No,55-64,Married,White-Collar,Graduate,Urban,Low,Tablet,Medium,Member,Not Shown,Online,Moving,Occasional,150-199,Health & Beauty
1569,No,20k-39k,Male,Yes,25-34,Single,Blue-Collar,High School,Urban,Medium,Tablet,High,Non-Member,Clicked,In-store,None,Frequent,50-99,Electronics
3496,No,180k-200k,Female,No,55-64,Married,Blue-Collar,Graduate,Rural,High,Mobile,Medium,Member,Not Shown,Online,Moving,Frequent,300-349,Clothing
3115,Yes,160k-179k,Female,Yes,55-64,Married,White-Collar,Bachelor,Rural,High,Tablet,Low,Member,Clicked,Online,None,Occasional,100-149,Health & Beauty
847,No,40k-59k,Male,No,25-34,Single,Blue-Collar,High School,Suburban,Low,Mobile,Medium,Non-Member,Clicked,In-store,Marriage,Frequent,10-49,Home & Garden
452,No,120k-139k,Male,No,35-44,Married,Blue-Collar,Graduate,Rural,High,Tablet,Low,Non-Member,Clicked,Online,None,Rare,400-449,Grocery
4458,Yes,160k-179k,Female,No,45-54,Single,Blue-Collar,Bachelor,Rural,Low,Desktop,High,Member,Not Shown,Online,None,Occasional,250-299,Clothing
4728,No,40k-59k,Male,Yes,18-24,Single,Blue-Collar,High School,Suburban,Low,Tablet,Low,Non-Member,Clicked,In-store,Marriage,Frequent,10-49,Electronics
3224,Yes,160k-179k,Female,Yes,45-54,Single,Blue-Collar,Graduate,Suburban,Low,Mobile,High,Non-Member,Ignored,Online,Moving,Frequent,450-500,Electronics
1230,Yes,180k-200k,Female,No,45-54,Married,Blue-Collar,Graduate,Rural,High,Mobile,Low,Member,Clicked,Online,Marriage,Frequent,100-149,Grocery
3504,No,40k-59k,Male,No,25-34,Single,Blue-Collar,High School,Urban,High,Desktop,High,Non-Member,Ignored,In-store,None,Occasional,50-99,Health & Beauty
4416,No,180k-200k,Female,Yes,35-44,Married,Blue-Collar,Graduate,Rural,Low,Tablet,Low,Member,Not Shown,Online,Moving,Frequent,400-449,Electronics
1640,No,60k-79k,Male,Yes,18-24,Single,Blue-Collar,High School,Suburban,Low,Desktop,High,Non-Member,Ignored,In-store,None,Frequent,10-49,Grocery
